apotheke,apotheke_plz,apotheke_stadt,name,bezeichnung,genetik,thc,cbd,preis_pro_gramm,verfuegbarkeit,produkt_url
Grüne Blüte,04416,Markkleeberg,Super Citra G,AVAAY 31/1 SCG,Hybrid,31%,<1%,"7,49 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/avaay_31_1_scg-super_citra_g_?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
Grüne Blüte,04416,Markkleeberg,Sour Ape,Luana 24/1 APE,Hybrid,22%,1%,"5,79 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/luana_24_1_ape-sour_ape?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
Grüne Blüte,04416,Markkleeberg,Waffle Bites,AVAAY Signature 26/1 WB,Indica,26%,<1%,"8,99 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/avaay_signature_26_1_wb-waffle_bites?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
Grüne Blüte,04416,Markkleeberg,Cosmic Cream,Pedanios 31/1 COS-CA,Hybrid Indica Dominant,31%,<1%,"7,85 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/pedanios-31-1-cos-ca-cosmic-cream-34e1?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
Grüne Blüte,04416,Markkleeberg,Electric Honeydew (EHD),Pedanios 26/1 EHD-CA,Sativa,26%,<1%,"6,89 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/pedanios-26-1-ehd-ca-electric-honeydew-ehd?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
Grüne Blüte,04416,Markkleeberg,Space Rider,ZOIKS 31/1 SR,Hybrid Indica Dominant,31%,1%,"5,79 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/zoiks_31_1_sr-space_rider?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
Grüne Blüte,04416,Markkleeberg,Sourdough,Pedanios 29/1 SRD-CA,Indica,29%,<1%,"6,29 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/pedanios-29-1-srd-ca-sourdough-srd?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
Grüne Blüte,04416,Markkleeberg,Tangrini,ZOIKS 26/1 TG,Hybrid Sativa Dominant,26%,1%,"4,59 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/zoiks_26_1_tg-tangrini?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
Grüne Blüte,04416,Markkleeberg,Tubitti Frubitti,TANNENBUSCH 31/1 TF,Hybrid Indica Dominant,31%,<1%,"5,99 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/tannenbusch_31_1_tf-tubitti_frubitti?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
Grüne Blüte,04416,Markkleeberg,Polar Cookies,Cannamedical Sativa Ultra NM,Hybrid Sativa Dominant,29.7%,<1%,"8,28 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/cannamedical-sativa-ultra-nm-polar-cookies-fa5c?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
Grüne Blüte,04416,Markkleeberg,Chemango Kush,Pedanios 28/1 CMK-CA,Hybrid Indica Dominant,28%,1%,"6,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/pedanios_28_1_cmk_ca-chemango_kush?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
Grüne Blüte,04416,Markkleeberg,Siggis Pfefferminze,Siggis PMNZ 28:01,Hybrid,28%,1%,"8,99 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/siggis_pmnz_28_01-siggis_pfefferminze?deliveryTarget=cGhhcm1hY3k6fDpiNGJkZGNjNS1kYzQxLTQ5ZDgtODdkZi0xNGEwM2Q1NjFiMzI%3D#reviews
